"Beige/brite (cold on sWAT)_M10(r1)"	"Beige/brite (cold on sWAT)_M10(r2)"	"Beige/brite (cold on sWAT)_M10(r3)"	"Treated BAT (cold)_M10(r1)"	"Treated BAT (cold)_M10(r2)"	"Treated BAT (cold)_M10(r3)"	"sWAT_M10(r1)"	"sWAT_M10(r2)"	"sWAT_M10(r3)"	"mWAT_M10(r1)"	"mWAT_M10(r2)"	"Beige/brite (cold on mWAT)_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r2)"	"BAT_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r3)"	"mWAT_M10(r3)"	"BAT_M10(r2)"	"BAT_M10(r3)"
"ENSMUSG00000000402"	3.82739	3.74255	3.27288	3.00981	3.34892	3.33115	3.7328	4.00224	4.0391	6.30895	6.57982	5.60547	4.69102	3.0997	6.12489	6.34901	3.09736	2.93475
"ENSMUSG00000000409"	7.24706333333333	7.55372	8.07049	5.06205333333333	5.1345	5.28269	7.69922666666667	7.31896333333333	9.04257	8.98845	5.21020666666667	8.9556	8.85054333333333	4.92836	4.97159333333333	8.64266666666667	5.28852333333333	4.83743666666667
"ENSMUSG00000000411"	4.8516	4.28056	4.78705	5.49614	5.27462	5.3411	4.4777	4.90192	4.78549	4.51773	4.71496	4.57037	4.83882	5.12198	4.41169	4.56307	5.2944	5.16096
"ENSMUSG00000000416"	5.59808	5.41162	5.54014	4.26948	4.58021	4.38694	5.64533	5.72988	5.61633	6.48038	7.43637	6.32702	6.24101	5.02887	7.27324	6.76384	5.06306	5.32348
"ENSMUSG00000000420"	11.02071	10.864595	10.947015	10.99008	11.00634	11.084235	10.848695	10.83088	10.92242	10.990325	10.897505	11.07941	10.98907	10.68757	10.91624	11.014025	10.8123	10.74495
"ENSMUSG00000000435"	2.94825	3.138	2.82664	3.05095	3.38013	3.17515	3.0855	3.05565	2.96864	3.58174	3.40426	3.57951	3.13136	3.55739	3.72043	3.16439	3.35965	4.842
"ENSMUSG00000000439"	10.5876566666667	10.3244533333333	10.4294833333333	10.8237333333333	10.80093	10.81356	10.2613966666667	10.5032833333333	10.2198633333333	10.0661	10.3766233333333	9.98986333333333	10.0726433333333	10.99183	10.3761433333333	10.2096533333333	10.8917333333333	10.9447233333333
"ENSMUSG00000000440"	12.09814	12.06202	12.12146	12.60852	12.48934	12.51348	11.47088	12.03361	11.66862	11.2326	11.21385	11.3878	11.11861	12.74091	11.14014	10.97917	12.70187	12.68026
"ENSMUSG00000000441"	10.700605	10.30888	10.63067	10.59387	10.65354	10.691115	10.66548	10.89288	10.579925	10.44547	10.68314	10.302905	10.16865	10.71755	10.63985	10.58633	10.660255	10.69081
"ENSMUSG00000000486"	9.47373	9.84335	9.85803	8.84944	9.1457	9.19835	9.75921	9.22285	10.77015	10.60413	7.90131	10.69202	10.68959	9.32446	7.87776	10.46394	8.90031	8.95981
