"BAT_M01(r1)"	"BAT_M01(r2)"	"WAT_M01(r1)"	"WAT_M01(r2)"
"ENSMUSG00000001891"	10.535574	10.915084	9.129414	9.081384
"ENSMUSG00000001909"	7.99405333333333	8.03894666666667	8.22938	8.11177333333333
"ENSMUSG00000001910"	6.45486333333333	6.41692	6.29061333333333	6.36531666666667
"ENSMUSG00000001911"	8.664488	8.664536	8.00905	8.070388
"ENSMUSG00000001918"	11.75609	11.55785	11.71235	11.54562
"ENSMUSG00000001924"	7.22672	7.15389	7.09315	7.138425
"ENSMUSG00000001930"	7.68463	7.4445	7.54013	7.5169
"ENSMUSG00000001942"	6.76104333333333	6.78758	6.47238666666667	6.32771333333333
"ENSMUSG00000001943"	6.27274	5.99972	5.97024	5.97298
"ENSMUSG00000001946"	9.57882	9.72195	9.23229	8.90258
"ENSMUSG00000001948"	6.43475	6.80364	7.47609	8.16786
"ENSMUSG00000001962"	8.49439	8.54238	8.93166	8.78727
"ENSMUSG00000001964"	10.40814	10.4368	10.358335	10.369925
"ENSMUSG00000001985"	4.896475	4.76399	4.681075	4.737525
"ENSMUSG00000001986"	4.775545	4.40274	5.332725	4.968735
"ENSMUSG00000001988"	4.30567	4.56628	4.18428	4.2161
"ENSMUSG00000001995"	6.40991	6.26079	6.24504	6.18795
"ENSMUSG00000001998"	6.95265	6.9655	6.83867	7.01412
"ENSMUSG00000001999"	9.19551	9.37419	8.49028	8.44568
"ENSMUSG00000002006"	4.76582	4.89012	4.83289	4.73926
"ENSMUSG00000002007"	6.37762333333333	6.55571	5.13161	5.08114333333333
"ENSMUSG00000002010"	12.99648	13.160305	11.05312	10.91119
"ENSMUSG00000002012"	6.18818	6.44585	6.48317	6.52255
"ENSMUSG00000002014"	8.00197333333333	8.02068666666667	8.72668	8.71430333333333
"ENSMUSG00000002015"	11.59689	11.6269	11.21159	11.17714
"ENSMUSG00000002017"	8.82154	8.78947	8.79148	8.75681
"ENSMUSG00000002020"	8.65801	9.10369	7.50616	7.52414
"ENSMUSG00000002028"	6.63742333333333	6.80569	6.81649333333333	7.02861666666667
"ENSMUSG00000002031"	8.43742	8.47814	8.86764	8.92767
"ENSMUSG00000002032"	5.966145	6.2891	5.416185	5.661115
"ENSMUSG00000002033"	5.12863	4.64315	6.81575	5.46789
"ENSMUSG00000002043"	8.75925	8.90808	9.51828	9.34759
"ENSMUSG00000002052"	7.33248	7.3092	7.1605	7.06732
"ENSMUSG00000002055"	4.30204	4.20220333333333	4.42154	4.20098333333333
"ENSMUSG00000002057"	4.23778	4.4563	4.267085	4.154675
"ENSMUSG00000002058"	8.70443	8.45008	8.47284	8.47921
"ENSMUSG00000002059"	10.457855	10.393575	9.691655	9.6619
"ENSMUSG00000002064"	10.16385	10.09572	10.8216	10.97067
"ENSMUSG00000002068"	5.753885	6.159905	6.082825	5.77145
"ENSMUSG00000002076"	5.227455	5.362385	5.407165	5.250465
"ENSMUSG00000002083"	5.86768	5.57716	5.76574	5.50097
"ENSMUSG00000002100"	5.71432	5.86932	5.33952	5.16617
"ENSMUSG00000002102"	10.56674	10.74004	10.7066	10.68939
"ENSMUSG00000002103"	8.19531333333333	8.19124666666667	7.98005333333333	7.88774666666667
"ENSMUSG00000002104"	5.73751	6.16299	4.73376	4.58892
"ENSMUSG00000002105"	8.23961	8.40445	7.59547	7.619
"ENSMUSG00000002107"	7.47043428571429	7.45214714285714	7.04987	6.99265571428571
"ENSMUSG00000002108"	8.74535	8.56026	7.49308	7.20295
"ENSMUSG00000002109"	6.759435	6.72436	7.66042	7.78271
"ENSMUSG00000002111"	6.58655	6.60284	6.51164	6.49251
"ENSMUSG00000002129"	6.04327	5.78641666666667	6.17606666666667	6.00357666666667
"ENSMUSG00000002147"	8.416665	8.166845	8.287255	8.253525
"ENSMUSG00000002190"	4.66938666666667	4.73287333333333	4.41762	4.32385333333333
"ENSMUSG00000002204"	5.81458	5.52514	6.83274	6.811675
"ENSMUSG00000002205"	8.241	8.29611	8.49273	8.33653
"ENSMUSG00000002210"	7.18545	7.28362	7.34761	7.2292
"ENSMUSG00000002221"	5.77291333333333	5.72322333333333	5.79606	5.95716333333333
"ENSMUSG00000002222"	8.784555	8.700655	7.975585	7.917775
"ENSMUSG00000002227"	5.98771	6.13378	6.02462	6.185705
