"Deep neck_patient 1_hM2"	"Subcutaneous neck_patient 1_hM2"	"Deep neck_patient 2_hM2"	"Subcutaneous neck_patient 2_hM2"	"Deep neck_patient 3_hM2"	"Subcutaneous neck_patient 3_hM2"	"Deep neck_patient 4_hM2"	"Subcutaneous neck_patient 4_hM2"	"Deep neck_patient 5_hM2"	"Subcutaneous neck_patient 5_hM2"	"Deep neck_patient 6_hM2"	"Subcutaneous neck_patient 6_hM2"
"ENSG00000005812"	10.6665	10.51035	10.57158	10.75625	10.62732	10.76052	10.31943	10.59528	10.52983	10.6067	10.54937	10.63779
"ENSG00000005844"	5.94937	5.91742	6.05328	6.25072	6.05532	5.9075	6.09514	5.99919	5.86632	6.00882	6.01867	6.18533
"ENSG00000005882"	9.59246	9.31942	9.20142	9.20045	9.13903	8.96017	9.27018	8.76999	9.22168	9.20331	9.15693	9.09771
"ENSG00000005884"	9.96426	9.75756	9.75636	8.81412	8.36195	8.52246	9.55392	8.06509	7.66388	8.37367	7.51198	8.91197
"ENSG00000005889"	9.87139	10.21101	10.04275	10.27721	10.07429	10.12456	9.68257	9.50589	10.08334	10.24855	9.55307	9.59097
"ENSG00000005893"	11.00815	10.95993	10.77667	10.74851	10.80483	10.72216	10.58625	10.73409	10.78271	10.73389	10.80707	10.81067
"ENSG00000005961"	6.54616	6.65209	6.71301	6.83833	6.58902	6.43935	6.71361	6.74059	6.809	6.70118	6.63978	6.89781
"ENSG00000005981"	5.12067	5.20114	5.05684	5.10353	5.37228	5.25101	5.07856	5.22142	5.05389	5.29283	5.18023	5.4196
"ENSG00000006007"	9.50291	9.28913	9.26602	9.12003	9.16146	9.05915	9.07703	9.07167	9.16744	9.16276	9.15093	9.09418
"ENSG00000006015"	8.50648	8.478	8.54987	8.7229	8.58776	8.42878	8.65731	8.65238	8.66174	8.6655	8.72725	8.69542
"ENSG00000006016"	11.58251	11.28479	11.04406	12.10548	11.66428	11.56074	11.54622	11.34844	11.86423	11.09063	11.44174	12.13763
"ENSG00000006025"	7.78395	7.97736	8.21941	8.05094	8.06868	7.86365	8.16452	8.01707	8.06817	7.98815	8.10345	8.2331
"ENSG00000006042"	9.69342	9.79273	8.9645	9.3394	9.45486	9.51504	9.44496	9.59451	9.18521	9.7206	9.38139	9.55921
"ENSG00000006047"	7.86992	7.98573	7.845	8.03411	7.71991	7.94648	7.85031	8.02863	7.98162	8.13023	7.99355	8.0383
"ENSG00000006059"	7.22173	7.29445	7.36294	7.58651	7.24876	7.30941	7.04605	7.13367	6.9713	7.48793	6.93917	7.37334
"ENSG00000006062"	7.13642	7.01537	7.23996	7.13878	6.86304	6.64171	7.26363	6.97143	7.14844	7.0482	7.27812	7.22586
"ENSG00000006071"	6.73201	6.9304	6.84525	6.8787	6.8734	6.83245	6.85701	6.97553	7.1258	6.86266	6.92727	6.96241
"ENSG00000006116"	5.31462	5.54181	5.38598	5.52853	5.53706	5.3676	5.47557	5.59289	5.77304	5.55312	5.57762	5.69147
"ENSG00000006118"	7.82731	8.16568	7.80887	8.1811	7.82312	7.78731	7.96136	7.97378	8.17007	8.10783	8.1168	8.1065
"ENSG00000006125"	11.56239	11.44058	11.62801	11.68813	11.61735	11.57816	11.44453	11.41036	11.22445	11.08753	11.16281	11.47383
"ENSG00000006128"	4.30476	4.43225	4.39962	4.66577	4.567	4.53972	4.48923	4.64947	4.59461	4.57107	4.47678	4.50006
"ENSG00000006194"	7.75602	7.83536	7.91417	7.69187	7.66831	7.64293	7.88577	7.94162	8.10612	8.01042	7.98096	8.07626
"ENSG00000006210"	7.59015	7.81624	7.59345	7.84536	7.36793	7.46414	7.44099	7.36918	7.55064	7.43377	7.53118	7.53954
"ENSG00000006282"	9.56511	9.51298	9.5254	9.38304	9.03594	8.74109	9.73939	9.38491	9.52226	9.36918	9.39659	9.74431
"ENSG00000006283"	6.98498	7.15385	6.9853	7.25038	7.04144	6.94501	6.98601	7.15751	7.17069	7.08782	7.04542	7.25577
"ENSG00000006327"	11.3477	11.61654	11.18066	11.80654	11.51191	11.72903	11.45623	11.47042	11.0737	11.41271	10.93386	11.45588
"ENSG00000006377"	7.8101	7.71934	7.64823	7.78394	7.62582	7.67742	7.50569	7.78594	7.72768	7.66559	7.61429	7.5989
"ENSG00000006432"	6.29393	6.52026	6.48235	6.8657	6.5531	6.59366	6.48223	6.62746	6.55989	6.48371	6.52422	6.68672
"ENSG00000006451"	10.2972	10.1477	10.1157	10.33697	10.19408	10.37416	9.56254	10.18686	9.88433	9.90435	9.84429	10.05042
"ENSG00000006453"	7.9469	8.64308	8.38841	9.05553	8.50487	9.33434	8.97701	9.38957	7.40613	8.93103	7.37934	9.35997
"ENSG00000006459"	8.07759	8.33203	8.40263	8.95185	8.31654	8.95861	7.90998	8.38312	8.49506	8.95311	8.02917	8.21281
"ENSG00000006468"	6.85303	6.01334	7.56402	7.62768	7.55319	7.25806	7.92601	6.67328	6.89237	6.55882	7.35927	7.33935
"ENSG00000006530"	8.99588	8.91555	9.14195	8.7268	8.7894	8.88105	8.97814	9.07501	8.88211	8.90411	8.881	8.97476
"ENSG00000006534"	9.02409	9.54032	9.24643	9.56542	9.15005	9.20741	9.51501	9.40595	9.42173	9.43476	9.38167	9.67511
"ENSG00000006555"	6.11776	5.96459	5.95539	6.06246	6.12342	5.80167	5.90351	6.08692	6.17501	6.03064	6.05606	6.09978
"ENSG00000006576"	10.65767	10.79063	11.00027	11.205425	11.132005	11.39816	10.936425	10.68489	10.72548	10.81806	10.762425	10.87685
"ENSG00000006606"	5.33643	5.64933	5.4357	5.6501	5.53099	5.49461	5.36445	5.58537	5.55149	5.59731	5.65589	5.77177
"ENSG00000006607"	9.14205	8.91221	9.18368	8.49181	8.85807	8.55977	8.71217	8.36131	8.39777	8.41966	8.58854	8.85749
"ENSG00000006611"	6.15867	6.37406	6.08884	6.4758	6.10533	6.08435	6.19902	6.23831	6.24112	6.14176	6.35337	6.2091
"ENSG00000006625"	7.99117	7.67345	8.17263	7.71927	8.23513	8.32106	7.86511	8.05316	7.9829	7.80615	7.79788	7.53799
"ENSG00000006634"	5.0287	5.19413	5.20488	4.9333	5.14038	5.48592	5.38306	5.59601	5.12907	4.92464	5.15266	5.14598
"ENSG00000006638"	7.92086	7.8869	7.83588	8.23862	7.74839	7.90498	7.84284	7.6007	7.70574	7.70876	7.83983	7.99606
"ENSG00000006652"	9.26463	9.07534	8.83141	8.62775	8.9067	8.98386	8.95559	9.10043	9.07155	8.95234	8.91343	8.96853
"ENSG00000006659"	5.17775	5.33312	5.22494	5.53696	5.59844	5.40588	5.20795	5.22369	5.50456	5.45228	5.37273	5.20895
"ENSG00000006695"	9.21748	9.22868	9.19627	8.85854	9.06625	9.24529	9.0252	9.09978	9.12316	9.16222	8.97303	8.9863
"ENSG00000006704"	8.41343	8.24787	8.32132	8.18636	8.3126	7.89994	8.26901	8.1056	8.42277	8.43941	8.28163	8.17512
"ENSG00000006712"	8.64376	8.4414	8.63669	8.65889	8.67361	8.66375	9.05716	8.74295	8.73555	8.64174	8.75616	8.7724
"ENSG00000006715"	9.46592	9.28883	9.35283	9.21128	9.03099	8.96853	9.21384	9.28809	9.34985	9.42757	9.39629	9.36789
"ENSG00000006740"	6.72113	6.51551	6.72643	7.03204	7.13437	6.80463	7.25407	6.66587	6.73666	6.74409	6.82337	6.61081
"ENSG00000006744"	9.62631	9.39307	9.5719	9.49555	9.7211	9.90342	9.76352	9.80329	9.53173	9.55375	9.58377	9.49705
"ENSG00000006747"	5.10019	5.00034	4.93011	5.82239	5.25707	5.30882	5.29836	5.47965	5.44623	5.3684	5.06601	5.38415
"ENSG00000006756"	8.33811	8.54865	8.2354	8.80832	8.3505	8.20599	8.18737	8.39812	8.19957	8.63199	8.07717	8.31588
"ENSG00000006757"	9.25839	9.0631	9.52304	9.33636	8.91015	8.9229	9.0173	8.91376	9.3071	9.28191	9.10592	9.029
"ENSG00000006788"	5.51396	5.66396	5.47153	5.89136	5.51093	5.40822	5.4813	5.77839	5.57138	5.64025	5.65085	5.84243
"ENSG00000006831"	9.36741	9.35594	9.26047	9.22033	9.2324	9.57521	8.85499	8.92376	8.85323	9.1175	8.81289	9.01293
"ENSG00000006837"	5.59209	5.44224	5.54022	5.31165	5.59969	5.56628	5.70931	5.66362	5.63011	5.99168	5.7665	5.51833
"ENSG00000007001"	5.7378	5.82111	5.79655	5.88568	5.70568	5.80589	5.76844	5.8342	5.89461	5.93706	5.84879	5.9017
"ENSG00000007038"	7.66548	7.82626	7.8655	7.98891	7.79167	7.71232	7.77712	7.81513	7.90118	7.81418	7.80907	7.8309
"ENSG00000007047"	9.24792	9.31937	9.01483	9.09572	8.96447	8.91819	8.98003	8.93044	8.83817	9.03603	8.86858	8.98189
"ENSG00000007062"	4.53414	4.61741	4.37004	4.58059	4.65241	4.88327	4.57065	4.68085	4.53252	4.60691	4.61375	4.5582
"ENSG00000007080"	9.91159	9.99295	9.82967	9.91014	10.00679	10.00573	10.21372	10.11415	9.92809	9.95812	9.97067	10.12004
"ENSG00000007129"	6.25544	6.31566	6.29401	6.45873	6.39349	6.34681	6.29381	6.26774	6.28427	6.25272	6.26358	6.3111
"ENSG00000007168"	9.108035	8.91099	9.110465	9.16092	9.054725	9.095095	9.04351	8.934365	9.048965	9.091515	9.08255	9.098365
"ENSG00000007171"	6.52734	6.56175	6.50254	6.72443	6.48693	6.5908	6.42497	6.57669	6.6287	6.57683	6.57927	6.5514
"ENSG00000007174"	5.84544	5.87541	5.88662	6.10254	5.97465	6.01097	5.84346	5.92999	5.87526	6.03023	5.99287	6.01316
"ENSG00000007202"	10.36455	10.18449	10.00011	10.04008	9.98025	9.9438	9.99186	10.1304	10.05589	9.93129	9.98917	10.00404
"ENSG00000007216"	6.68897	6.76872	6.59288	6.88061	6.6794	6.76339	6.51632	6.73081	6.7012	6.72427	6.60615	6.8738
"ENSG00000007237"	7.46202	8.0678	7.42885	8.11488	7.52214	7.69688	7.4235	8.45	8.39097	8.49921	8.07601	7.85757
"ENSG00000007255"	8.05433	8.03454	7.92618	7.99823	7.68332	7.40642	7.98872	8.07525	8.24029	8.17112	8.22346	8.08288
"ENSG00000007264"	6.77032	7.04507	6.85636	7.03627	6.65114	6.81585	6.9428	7.04434	7.15913	7.06591	7.06799	7.05621
"ENSG00000007306"	5.1661	5.50381	5.2039	5.46038	5.19787	5.31261	5.26977	5.35807	5.26274	5.37007	5.29222	5.20569
