"eWAT_M04(r1)"	"eWAT_M04(r2)"	"eWAT_M04(r3)"	"BAT_M04(r1)"	"BAT_M04(r2)"	"BAT_M04(r3)"
"ENSMUSG00000082655"	9.60157	9.36586	9.78673	8.80459	9.26939	9.21035
"ENSMUSG00000082663"	5.30175285714286	5.31472571428571	5.38305571428571	5.34872857142857	5.39555285714286	5.48699428571429
"ENSMUSG00000082664"	4.4868	4.81086	4.41803	4.89739	5.05428	5.1356
"ENSMUSG00000082669"	4.86451	4.7287	5.121	5.54508	5.62388	5.66149
"ENSMUSG00000082671"	4.60447	4.02667	4.16964	4.85443	4.81248	4.75563
"ENSMUSG00000082675"	10.63988	10.67673	10.65529	8.98139	8.92338	8.93205
"ENSMUSG00000082676"	7.241975	7.173745	7.07702	7.158625	7.508385	7.137805
"ENSMUSG00000082678"	7.12546	7.07598	7.12844	7.03164	6.91951	7.08413
"ENSMUSG00000082684"	8.75693	8.62556	8.61822	9.29494	9.48523	9.24235
"ENSMUSG00000082691"	10.08882	9.794345	9.94803	9.17851	9.33609	9.187355
"ENSMUSG00000082693"	7.3411	6.8424	7.017965	7.674935	7.8151375	7.3830175
"ENSMUSG00000082703"	3.41702	3.88677	3.52835	3.90458	4.46712	3.9843
"ENSMUSG00000082705"	11.0384	10.90873	10.89039	10.0657325	10.173795	9.99577
"ENSMUSG00000082707"	5.23913	5.57835	5.21087	5.06107	5.18368	5.62152
"ENSMUSG00000082711"	9.67506	9.6121	9.564295	9.071685	9.1404	9.006405
"ENSMUSG00000082726"	4.43165	4.53424	4.24057	5.42268	4.83106	5.3118
"ENSMUSG00000082728"	3.38164	3.76891	3.57936	3.52992	3.27367	3.97451
"ENSMUSG00000082729"	8.12653	8.12004	8.07218	8.63338	8.7826	8.43584
"ENSMUSG00000082735"	2.93828	2.84862	2.79828	3.58775	3.43634	3.35998
"ENSMUSG00000082737"	5.40122	5.58695	5.07736	6.68988	6.51354	6.63504
"ENSMUSG00000082741"	12.600178	12.438371	12.476134	12.074272	12.261408	12.039732
"ENSMUSG00000082743"	5.44999	5.35338	4.94423	5.55603	5.96143	5.54947
"ENSMUSG00000082746"	11.19829	10.98335	11.02047	10.12558	10.36978	10.13105
"ENSMUSG00000082754"	2.45618	2.08474	2.27564	2.13146	2.14938	2.21525
"ENSMUSG00000082762"	12.394605	12.3192972222222	12.3075166666667	12.1562494444444	12.2028077777778	12.0886677777778
"ENSMUSG00000082765"	2.03396	1.93191	2.03647	2.03762	2.3152	2.10649
"ENSMUSG00000082768"	5.46477	5.42089	5.12978	6.33907	6.16004	6.4032
"ENSMUSG00000082769"	11.4444285714286	11.2791271428571	11.23573	10.0943242857143	10.27368	9.98644571428571
"ENSMUSG00000082776"	4.96718	4.89368	4.95986	4.65887	4.51432	4.62411
"ENSMUSG00000082778"	12.1784453658537	12.3775309756098	12.3899290243902	13.2657426829268	13.201386097561	13.3211090243902
"ENSMUSG00000082782"	5.727	5.79906	5.74388	6.28699	6.28496	6.29392
"ENSMUSG00000082785"	2.13799	2.18557	1.99564	2.53704	2.30202	2.22767
"ENSMUSG00000082786"	3.63611	3.45396	3.29588	3.6687	3.76831	3.91512
"ENSMUSG00000082789"	4.241214	4.48631266666667	4.24645	4.42373066666667	4.1012	4.31189066666667
"ENSMUSG00000082791"	7.34239	7.50888	7.5557	7.06381	6.63322	6.56646
"ENSMUSG00000082792"	11.6792375	11.5480075	11.57897	11.495125	11.5590525	11.414755
"ENSMUSG00000082797"	4.92306	5.10692	4.96641	5.46169	5.52726	5.27449
"ENSMUSG00000082804"	10.75517	10.60358	10.70712	9.78161	10.00086	9.76182
"ENSMUSG00000082809"	11.509476	11.701124	11.745512	9.999314	9.88057	10.194078
"ENSMUSG00000082810"	3.905	4.05562	4.20405	4.37091	3.91876	4.6213
"ENSMUSG00000082815"	3.35931	3.2629	3.02498	3.33934	3.44311	3.5743
"ENSMUSG00000082816"	10.86095	11.23742	11.10841	12.47643	12.37229	12.65137
"ENSMUSG00000082820"	7.24216	7.056315	7.061185	6.906595	7.1815	6.616255
"ENSMUSG00000082827"	3.55838	3.40187	3.31429	3.58536	4.17493	4.23072
"ENSMUSG00000082828"	8.12614	8.0219	7.94126	8.42372	8.8028	8.69482
"ENSMUSG00000082836"	6.5514825	6.4412525	6.3175275	7.3386575	7.23361	7.073545
"ENSMUSG00000082843"	3.70067	3.63533	3.77092	4.11473	4.05817	4.32151
"ENSMUSG00000082844"	7.46196666666667	6.79019	6.95151333333333	7.78434333333333	8.00096	7.48917
"ENSMUSG00000082845"	4.80886	4.77928	4.41959	4.79565	4.98128	5.42643
"ENSMUSG00000082847"	3.32122	3.11165	3.40451	3.66997	3.48636	3.8185
"ENSMUSG00000082849"	3.34752	3.3387	3.13583	3.38722	3.4766	3.45059
"ENSMUSG00000082859"	2.77645666666667	2.63131333333333	2.86939	2.95614	2.88723	2.88201333333333
"ENSMUSG00000082861"	2.49549	2.91073	3.07907	2.61411	3.05815	2.92636
"ENSMUSG00000082867"	6.31163	6.08489	5.89959	5.51451	5.61815	5.513375
"ENSMUSG00000082872"	2.94043	2.679	2.50774	2.76194	2.77045	2.4373
"ENSMUSG00000082874"	3.76332	3.69485	3.80453	3.68968	4.69793	4.45329
"ENSMUSG00000082882"	2.67012	2.66965	2.52727	2.93077	2.49602	2.47679
"ENSMUSG00000082883"	2.74435	2.344575	2.57286	2.816595	2.99401	2.81083
"ENSMUSG00000082885"	3.31492	2.82205	3.03116	3.46011	3.1176	3.20288
"ENSMUSG00000082894"	2.82778	2.7478	2.86457	2.95065	3.16216	3.40269
"ENSMUSG00000082895"	10.70466	10.554315	10.4823675	9.94808	10.1046125	9.8809175
"ENSMUSG00000082896"	10.4238533333333	10.5435233333333	10.59759	10.2402366666667	10.40331	10.4863
"ENSMUSG00000082900"	12.382285	12.5744	12.5833714285714	13.4300107142857	13.3593585714286	13.4652342857143
"ENSMUSG00000082901"	10.74799625	10.63308875	10.66499375	9.99181	10.0922925	9.94524375
"ENSMUSG00000082902"	5.731804	5.92803	5.33992	5.202992	5.042392	5.335432
"ENSMUSG00000082908"	9.31172	9.15119	9.0245	8.62861	8.98676	8.75181
"ENSMUSG00000082912"	5.30368	5.48668	5.10819	6.23071	5.65581	5.76329
"ENSMUSG00000082920"	10.3493633333333	10.2285266666667	10.2093373333333	9.956918	9.968302	9.848798
"ENSMUSG00000082922"	5.27624	5.08118	5.28214	5.0219	5.51424	5.46511
"ENSMUSG00000082925"	7.77013333333333	7.90619333333333	7.87014333333333	7.70779	7.82251333333333	7.60733333333333
"ENSMUSG00000082926"	11.379835	11.2710775	11.34526	10.512285	10.5945	10.4594675
"ENSMUSG00000082927"	11.36094	11.58847	11.61154	12.7047	12.60684	12.77593
"ENSMUSG00000082931"	10.3639145454545	10.3236481818182	10.2788240909091	9.75863045454545	9.77149681818182	9.67916818181818
"ENSMUSG00000082935"	9.11272	8.90825	8.70628	8.54064	8.89839	8.44991
"ENSMUSG00000082938"	7.24216	7.056315	7.061185	6.906595	7.1815	6.616255
"ENSMUSG00000082947"	10.31393	10.2206866666667	10.3394566666667	10.1346766666667	10.26757	10.2206766666667
"ENSMUSG00000082949"	3.19526	3.02493	3.06558	3.13301	3.14634	3.06484
"ENSMUSG00000082951"	5.04184	5.06417	4.98743	5.31602	5.75479	5.68772
"ENSMUSG00000082953"	8.58265	8.59461	8.66841	8.56216	8.57339	8.43082
"ENSMUSG00000082955"	5.46608	5.59182	5.47792	5.73441	5.61393	5.87203
"ENSMUSG00000082961"	5.19689	5.10448	5.48973	5.3352	5.45088	5.18829
"ENSMUSG00000082962"	6.56434	7.21545222222222	6.99353777777778	6.89202777777778	6.21393666666667	5.96646
"ENSMUSG00000082964"	4.17981	4.60985	4.2377	4.82603	4.19759	4.16049
"ENSMUSG00000082965"	3.45013	3.33346	3.28528	3.65416	3.70505	4.00378
"ENSMUSG00000082969"	10.4705533333333	10.3426483333333	10.3302966666667	10.0611633333333	10.0728	9.96156166666667
"ENSMUSG00000082978"	8.4794125	8.29053	8.25192	7.8446875	7.9580775	7.752535
"ENSMUSG00000082980"	3.56511333333333	3.98871	3.71892333333333	3.88959	3.738	3.88218666666667
"ENSMUSG00000082983"	9.04281	8.66914	8.82155	8.51824	8.73735	8.49411
"ENSMUSG00000082988"	7.59692	7.56671	7.559485	6.824215	6.671805	6.739055
"ENSMUSG00000083004"	10.76373	10.539025	10.48765	10.18713	10.33401	10.151505
"ENSMUSG00000083007"	10.72708	10.53564	10.54624	9.67246	9.68967	9.55167
"ENSMUSG00000083009"	5.61296	5.64688	5.64725	5.54763	5.26364	5.83833
"ENSMUSG00000083011"	10.995148	10.917336	10.905918	9.93986	9.959416	9.82641
"ENSMUSG00000083012"	7.13617333333333	6.98992666666667	7.05829333333333	7.25374333333333	7.33602333333333	7.52665333333333
"ENSMUSG00000083016"	2.81918	2.50514	2.66779	2.99161	3.2	3.41675
"ENSMUSG00000083019"	10.8081633333333	10.7725	10.6481633333333	11.9778133333333	12.20263	12.0816
"ENSMUSG00000083022"	9.79765	9.52121	9.707575	8.87673	9.056915	8.758805
"ENSMUSG00000083025"	2.75385	2.75719	2.8044	3.30544	2.88663	2.98067
"ENSMUSG00000083027"	8.261555	8.38983	8.382055	8.175805	8.24162	8.03293
"ENSMUSG00000083032"	2.35823	2.28947	2.2943	2.66019	2.58519	2.64056
"ENSMUSG00000083033"	10.40678	10.23561	10.17894	9.638085	9.80422	9.578495
"ENSMUSG00000083038"	10.2659533333333	10.39803	10.24709	11.8318866666667	11.7770233333333	11.87832
"ENSMUSG00000083041"	6.91824	6.75021	7.08534	6.31806	6.23014	6.45881
"ENSMUSG00000083044"	12.4407595652174	12.6323308695652	12.6465926086957	13.4584713043478	13.4022439130435	13.4889395652174
"ENSMUSG00000083054"	3.07812	3.20791	3.20558	2.53066	2.93554	2.80965
"ENSMUSG00000083055"	4.8258	5.17153	5.03418	4.80418	4.95373	4.71127
"ENSMUSG00000083059"	2.41469	2.212555	2.417105	2.625145	2.63105	2.937715
"ENSMUSG00000083061"	12.600178	12.438371	12.476134	12.074272	12.261408	12.039732
"ENSMUSG00000083064"	3.75219	3.2852	3.4567	3.45708	3.4167	2.96646
"ENSMUSG00000083072"	3.01292	2.53894	2.77332	3.67964	3.58001	3.79028
"ENSMUSG00000083076"	9.2945	9.14181	9.05592	10.5889	10.7394	10.77315
"ENSMUSG00000083077"	6.51341	6.41964	6.52523	7.19362	6.91377	7.23581
"ENSMUSG00000083079"	3.87240833333333	4.02144	3.74414333333333	4.599015	4.92335333333333	4.72075166666667
"ENSMUSG00000083081"	8.953315	8.8576	8.899035	9.31	9.04467	9.0368625
"ENSMUSG00000083086"	9.93073	9.730325	9.661635	8.612175	9.09923	8.709075
"ENSMUSG00000083087"	12.394605	12.3192972222222	12.3075166666667	12.1562494444444	12.2028077777778	12.0886677777778
"ENSMUSG00000083094"	4.38357	5.01914	4.8065	5.59349	5.10516	6.39378
"ENSMUSG00000083097"	9.04037	8.72404	8.68091	9.273775	9.473425	9.16517
"ENSMUSG00000083101"	10.389484	10.233686	10.240096	10.144062	10.267302	10.051462
"ENSMUSG00000083107"	4.41085	4.10652	4.24164	4.79895	4.65893	5.01828
"ENSMUSG00000083113"	4.15464	4.09619	3.80356	4.44078	4.63022	4.2225
"ENSMUSG00000083116"	3.12601	3.09738	3.25048	3.28257	3.24518	3.17091
"ENSMUSG00000083119"	5.08103	4.85559	5.23789	5.22792	5.63309	5.34209
"ENSMUSG00000083120"	1.94157	2.13049	1.94237	2.35442	2.41449	2.40615
"ENSMUSG00000083121"	9.932265	9.836595	9.7213675	9.24646	9.2710625	9.26622
"ENSMUSG00000083140"	3.653545	3.78917	3.39714	4.305355	3.958725	4.331695
"ENSMUSG00000083144"	4.43352666666667	4.31005666666667	3.97120333333333	4.34352666666667	4.44731666666667	4.54835666666667
"ENSMUSG00000083145"	6.87146	6.79062	6.76528	7.04425	7.03185	7.14796
"ENSMUSG00000083147"	2.95761	3.02762	2.79812	3.50948	3.69651	3.56614
"ENSMUSG00000083152"	3.1176475	3.64175	3.493625	2.72324	2.7611425	2.776465
"ENSMUSG00000083156"	4.45812	4.62167	4.50558	4.8689	4.58335	5.05928
"ENSMUSG00000083171"	5.97727	5.81574	5.63946	6.15636	6.59349	6.24551
"ENSMUSG00000083174"	2.49896	2.70963	2.8421	3.10289	2.85802	2.91662
"ENSMUSG00000083175"	3.60514	3.85642	3.80833	3.44228	4.11052	3.96784
"ENSMUSG00000083177"	4.41147	4.3994	4.20393	5.79501	5.62727	5.20285
"ENSMUSG00000083183"	3.60641	3.59508	3.57426	3.77877	4.12827	3.80489
"ENSMUSG00000083191"	5.73595	5.80485	5.82267	6.00797	6.03462	6.24272
"ENSMUSG00000083192"	10.90647625	10.62668875	10.67911625	10.45001875	10.6810475	10.35255375
"ENSMUSG00000083215"	4.54579	5.05826	4.72903	4.72919	5.02944	5.41249
"ENSMUSG00000083218"	5.10131	5.24725	5.13259	5.00815	4.83861	5.03522
"ENSMUSG00000083235"	6.18323	6.13583	6.12395	6.0304	6.0364	5.76709
"ENSMUSG00000083236"	11.72632	11.72189	11.64344	11.41396	11.59585	11.49593
"ENSMUSG00000083239"	2.686745	2.48933166666667	2.32785166666667	2.331645	2.63208	2.47711
"ENSMUSG00000083240"	10.322785	10.098965	9.84304	8.87018	9.13341	8.892695
"ENSMUSG00000083251"	2.77645666666667	2.63131333333333	2.86939	2.95614	2.88723	2.88201333333333
"ENSMUSG00000083253"	4.23943	4.38215	4.33568	4.78146	4.47784	4.65127
"ENSMUSG00000083258"	7.93051	7.96479	7.89646	7.83555	7.58516	7.85107
"ENSMUSG00000083261"	9.10522	9.22311	9.24296	8.70066	8.54336	8.90128
"ENSMUSG00000083267"	2.62421	2.76743	2.42124	2.86207	2.7564	2.92489
"ENSMUSG00000083270"	3.74497	3.59911	3.61984	3.57989	3.49105	3.69642
"ENSMUSG00000083271"	5.14336	4.98569	4.78051	6.80207	6.56396	6.60374
"ENSMUSG00000083275"	2.88016	2.61347	2.64604	3.26797	3.4399	3.07974
"ENSMUSG00000083279"	6.53412	6.16976	5.67996	4.8844	4.5429	4.82577
"ENSMUSG00000083282"	8.23901	8.24276	8.19697	9.13832	8.80136	8.90943
"ENSMUSG00000083283"	11.209025	11.13799	11.185795	11.47534	11.41335	11.43449
"ENSMUSG00000083284"	4.60859	4.5872	4.18304	5.01373	5.01223	4.55319
"ENSMUSG00000083287"	8.2955	8.20211	8.16105	8.314185	8.63695	8.575055
"ENSMUSG00000083288"	1.89832	1.97443	2.08406	2.21407	2.15355	1.89464
"ENSMUSG00000083291"	4.19213	3.69194	3.6139	4.22096	4.3346	4.1106
"ENSMUSG00000083294"	2.74177666666667	4.02592666666667	2.68946333333333	4.15789	3.09987333333333	3.20763666666667
"ENSMUSG00000083299"	3.19615	3.27981	3.16861	3.60926	3.98066	3.72115
"ENSMUSG00000083303"	2.75672	2.56376	2.5799	2.83918	2.90338	2.80336
"ENSMUSG00000083304"	4.00571166666667	3.83431833333333	3.63409666666667	2.72173166666667	2.88381833333333	2.97609166666667
"ENSMUSG00000083307"	6.58671	6.66846	6.6474	4.65951	5.89763	5.51796
"ENSMUSG00000083310"	4.92831	5.12865	5.0689	6.16773	6.26918	5.55165
"ENSMUSG00000083311"	10.296155	10.289245	10.4329075	9.17223	9.2658725	9.0754825
"ENSMUSG00000083312"	3.151582	3.232228	3.29241	3.51736	3.528334	3.540236
"ENSMUSG00000083317"	3.53733	3.41847	3.69797	4.04007	4.03854	3.39256
"ENSMUSG00000083319"	2.21717	2.17774	2.22463	2.07592	2.71109	2.26463
"ENSMUSG00000083325"	8.9635	8.85631	8.78368	9.82666	9.929985	9.76564
"ENSMUSG00000083326"	10.7574125	10.6188975	10.625605	10.1866425	10.3752125	10.0875625
"ENSMUSG00000083327"	10.51875	10.78002	10.78249	10.42826	10.10238	10.44
"ENSMUSG00000083328"	9.27024333333333	8.94805666666667	8.93747666666667	8.27691333333333	8.52077333333333	8.08514666666667
"ENSMUSG00000083329"	3.61959	3.85535	3.57814	4.26636	3.59323	3.85741
"ENSMUSG00000083333"	2.92554	2.97013	3.00317	3.67712	3.71595	3.81814
"ENSMUSG00000083335"	4.2862	4.51756	4.45658	4.27939	4.1413	4.1056
"ENSMUSG00000083337"	10.7340575	10.6012125	10.6208675	10.130865	10.1432375	9.89925
"ENSMUSG00000083346"	3.92743	3.88555	3.83679	3.58306	3.87586	4.08532
"ENSMUSG00000083356"	2.49123	2.59092	2.55326	2.83521	2.91705	2.87598
"ENSMUSG00000083358"	3.50551	3.30854	3.30309	3.47588	3.89848	3.5408
"ENSMUSG00000083361"	2.86181	2.734055	2.785025	2.8874	3.077275	3.03906
"ENSMUSG00000083364"	9.451045	9.289325	9.1957	8.71653	8.891625	8.787805
"ENSMUSG00000083367"	9.93018	9.94465	9.99238	9.14026	8.98891	9.06682
"ENSMUSG00000083374"	10.1483425	10.0983875	10.0537483333333	9.528105	9.55441583333333	9.469685
"ENSMUSG00000083377"	5.72897	5.56539	5.57898	5.08329	5.07602	4.94268
"ENSMUSG00000083379"	5.21778	5.23721	5.18257	5.01147	4.83462	5.12632
"ENSMUSG00000083380"	8.61803	8.350985	8.246885	10.894985	11.163695	10.77027
"ENSMUSG00000083382"	12.461922	12.3813666666667	12.3772266666667	12.2323413333333	12.265726	12.1491606666667
"ENSMUSG00000083383"	3.38181	3.18188	2.99764	3.56304	3.43465	3.80504
"ENSMUSG00000083390"	10.3029803333333	10.2178306666667	10.334906	10.1297043333333	10.2328506666667	10.1765866666667
"ENSMUSG00000083391"	9.36274666666667	9.54066333333333	9.49764	10.6286066666667	10.4334733333333	10.71778
"ENSMUSG00000083392"	9.10522	9.22311	9.24296	8.70066	8.54336	8.90128
"ENSMUSG00000083394"	12.294182	12.234277	12.20189575	11.4866055	11.58324425	11.3914835
"ENSMUSG00000083396"	8.046995	7.817355	7.90843	7.4919	7.542955	7.7169
"ENSMUSG00000083397"	7.1527475	7.499045	7.282675	8.1848925	8.0541425	8.176685
"ENSMUSG00000083398"	3.77705	3.63458	3.92992	4.7069	4.64191	4.82828
"ENSMUSG00000083402"	2.36995	2.61136	2.51554	2.83473	2.66125	2.55123
"ENSMUSG00000083406"	3.46564	3.58515	3.22098	3.46497	3.723	3.64281
"ENSMUSG00000083407"	2.84901	2.77081	2.88327	3.1535	3.34213	3.037
"ENSMUSG00000083410"	4.75076	4.76887	4.79895	4.57429	4.8023	4.64518
"ENSMUSG00000083411"	12.600178	12.438371	12.476134	12.074272	12.261408	12.039732
"ENSMUSG00000083416"	7.414885	7.37629	7.36012	7.6168	7.703535	7.80451
"ENSMUSG00000083418"	2.50522	2.44146	2.23303	2.46726	3.03557	2.2876
"ENSMUSG00000083419"	4.90404	5.09336	4.87752	5.09303	5.46899	5.23363
"ENSMUSG00000083422"	3.83441	3.90255	3.65073	4.35447	4.38207	4.03561
"ENSMUSG00000083424"	9.724955	9.50168166666667	9.54053833333333	9.46277583333333	9.74444833333333	9.34350083333333
"ENSMUSG00000083434"	10.2912366666667	10.1653466666667	10.0336366666667	9.50006	9.73058333333333	9.58054
"ENSMUSG00000083435"	6.67134	6.53765	6.81262	6.71248	6.52397	6.74088
"ENSMUSG00000083440"	9.01338	8.92034	8.85957	8.7392	8.71219	8.46429
"ENSMUSG00000083443"	8.11928	8.58463	8.20197	8.22733	8.30164	8.3346
"ENSMUSG00000083449"	4.14727	4.1652	4.30927	4.16417	4.49626	5.1091
"ENSMUSG00000083454"	11.582454	11.521182	11.565738	11.192566	11.171502	11.108046
"ENSMUSG00000083458"	7.67474	7.66425	7.62365	8.40238	8.47202	8.31078
"ENSMUSG00000083460"	10.942315	11.24984	11.139355	12.50613	12.369395	12.66553
"ENSMUSG00000083462"	4.89117	5.01762	4.71463	4.8253	4.93957	5.11181
"ENSMUSG00000083463"	5.59694	5.55648	5.57349	5.84685	5.50211	5.69672
"ENSMUSG00000083470"	4.1265	4.23005	4.0818	4.0742	4.65367	4.15547
"ENSMUSG00000083471"	10.51092	10.45124	10.59149	10.40568	10.42857	10.33775
"ENSMUSG00000083474"	9.8049325	9.716795	9.8228275	9.9327025	9.88736	9.8774275
"ENSMUSG00000083477"	8.53855	8.53824	8.47639	8.35276	8.31809	8.33476
"ENSMUSG00000083481"	10.7438933333333	10.6234855555556	10.6567177777778	9.97916888888889	10.0734333333333	9.93367555555556
"ENSMUSG00000083483"	11.2476911111111	11.1001844444444	11.0938422222222	10.7650466666667	10.8644455555556	10.6497477777778
"ENSMUSG00000083487"	2.18297	2.20985	2.31292	2.70139	3.03611	2.73547
"ENSMUSG00000083496"	11.25796	11.1363488888889	11.2035177777778	10.3981466666667	10.4991611111111	10.3310522222222
"ENSMUSG00000083499"	3.35732	3.30734	3.38789	3.63942	3.69177	3.89183
"ENSMUSG00000083500"	7.0142	6.5818	6.92149	6.38958	6.5363	6.55294
"ENSMUSG00000083505"	6.09358	5.91285	5.85539	6.10548	5.88387	5.76421
"ENSMUSG00000083508"	4.43858	4.5792	4.3778	4.68683	4.70683	4.66262
"ENSMUSG00000083534"	4.89807	4.73779	4.81432	5.29105	5.42562	5.18354
"ENSMUSG00000083537"	3.48728	3.3063	3.45999	3.59393	4.11386	3.20836
"ENSMUSG00000083539"	5.59104	5.37904	5.38354	5.29149	5.11287	5.24052
"ENSMUSG00000083544"	4.24303	4.33932	4.18117	4.03884	3.95352	3.84496
"ENSMUSG00000083553"	10.2446105882353	10.1264229411765	10.1029564705882	9.85474823529412	9.87036117647059	9.74846058823529
"ENSMUSG00000083557"	6.858905	6.65315	6.77635	7.37867	7.6988	7.161605
"ENSMUSG00000083561"	2.14758	2.02694	2.02933	2.50567	2.41361	2.10532
"ENSMUSG00000083562"	8.46464666666667	8.34515333333333	8.35452333333333	8.85389333333333	8.51838	8.50031666666667
"ENSMUSG00000083563"	13.3284533333333	13.3061466666667	13.2959733333333	13.5188666666667	13.6341	13.6625533333333
"ENSMUSG00000083564"	2.91934	2.78776	3.01851	3.78399	3.47647	3.87097
"ENSMUSG00000083567"	6.64821	6.58098	6.58461	7.29887	7.29584	7.5115
"ENSMUSG00000083573"	4.84784	4.5287	4.42959	4.623	4.93049	4.69754
"ENSMUSG00000083596"	12.294182	12.234277	12.20189575	11.4866055	11.58324425	11.3914835
"ENSMUSG00000083602"	2.89858	3.12861	3.05463	4.48296	4.21824	4.4704
"ENSMUSG00000083611"	9.99291	9.97691666666667	9.90945333333333	9.47218	9.50203333333333	9.34585333333333
"ENSMUSG00000083616"	4.81904	5.14139	5.0987	5.30671	5.77248	5.62099
"ENSMUSG00000083619"	10.7438933333333	10.6234855555556	10.6567177777778	9.97916888888889	10.0734333333333	9.93367555555556
"ENSMUSG00000083620"	2.26641	2.29836	2.28529	2.41548	2.43675	2.16549
"ENSMUSG00000083621"	10.7927133333333	10.5344433333333	10.5695133333333	10.19658	10.4443066666667	10.1385433333333
"ENSMUSG00000083623"	4.34642	4.38601	4.28612	4.46974	4.82254	4.66592
"ENSMUSG00000083626"	8.601955	8.55844	8.390615	11.22796	11.18013	11.185865
"ENSMUSG00000083627"	9.294025	9.202515	9.298775	9.10309	8.96951	9.137595
"ENSMUSG00000083628"	3.31006846153846	3.11851153846154	3.10207076923077	3.30839384615385	3.27068538461538	3.09583615384615
"ENSMUSG00000083642"	8.862028	8.797886	8.843724	9.219122	8.983836	8.983024
"ENSMUSG00000083649"	3.00693	2.77294	2.679	3.53605	3.85033	3.72787
"ENSMUSG00000083657"	6.711235	6.539175	6.276325	3.51785	2.988515	3.382765
"ENSMUSG00000083669"	9.76677333333333	9.63148333333333	9.67875	9.07576	9.07228333333333	9.14141
"ENSMUSG00000083670"	7.86726857142857	7.72408428571429	7.76004428571429	7.97386142857143	7.97859	7.90959571428571
"ENSMUSG00000083673"	3.53778	3.41665	3.58373	3.60123	3.59053	3.91514
"ENSMUSG00000083674"	4.91822	4.988145	4.991785	5.42927	5.112705	5.09202
"ENSMUSG00000083678"	8.16501	7.99956	8.00257	7.7425	8.12679	7.78848
"ENSMUSG00000083681"	5.25661	5.07295	5.14035	5.77448	5.77203	5.47626
"ENSMUSG00000083691"	4.19547	4.0183	4.0183	4.63266	5.07052	5.24173
"ENSMUSG00000083692"	8.60615	8.5248	8.50083	8.71656	8.74188	8.64187
"ENSMUSG00000083693"	8.81748	8.50913	8.33772	8.51876	8.65757	8.5851
"ENSMUSG00000083695"	3.56086	3.45046	3.68176	3.65767	3.58763	3.67111
"ENSMUSG00000083704"	7.42833333333333	7.28938333333333	7.36755333333333	7.27616666666667	7.45936	7.39130666666667
"ENSMUSG00000083705"	10.02374	9.9201525	9.843075	9.2518975	9.3944925	9.17034
"ENSMUSG00000083706"	2.12014	2.25302	2.18576	2.25185	2.07263	2.19349
"ENSMUSG00000083714"	3.961705	4.0658425	4.069145	4.0146075	4.4712825	4.354405
"ENSMUSG00000083716"	10.270278	10.148258	10.141546	9.700068	9.722836	9.535406
"ENSMUSG00000083720"	8.11765	7.88373	7.848265	8.028395	8.236595	8.051855
"ENSMUSG00000083722"	3.99482	3.91878	3.70933	4.36188	4.60443	4.71777
"ENSMUSG00000083723"	11.2295	11.14819	11.11304	10.92251	11.05851	10.84234
"ENSMUSG00000083734"	9.6051325	9.43407	9.3610225	11.1719575	11.1029025	11.052975
"ENSMUSG00000083736"	8.83532	8.74341	8.82713	8.80934	8.83186	9.07261
"ENSMUSG00000083737"	6.63736	6.96465	6.82491	6.67538	6.34376	6.66683
"ENSMUSG00000083740"	12.78295	12.61008	12.6773	11.75509	12.01917	11.70442
"ENSMUSG00000083754"	10.42234	10.502175	10.55323	9.98869	9.83436	9.973415
"ENSMUSG00000083757"	9.79765	9.52121	9.707575	8.87673	9.056915	8.758805
"ENSMUSG00000083761"	8.75981	8.92356666666667	8.81818	10.7678166666667	10.66259	10.7734333333333
"ENSMUSG00000083768"	4.1406	4.24088	4.42722	4.38736	4.32303	4.60794
"ENSMUSG00000083773"	12.21776	12.4169851111111	12.425848	13.3279677777778	13.2646	13.3924484444444
"ENSMUSG00000083774"	8.7809	8.45778	8.55364	10.19935	10.16766	9.98042
"ENSMUSG00000083780"	9.43607	9.35999	9.33048	9.6326	10.00366	9.49416
"ENSMUSG00000083787"	7.72132	7.75042	7.4378	8.18878	8.02985	8.0286
"ENSMUSG00000083807"	2.73377	2.84599	2.60131	3.00249	3.77804	3.59542
"ENSMUSG00000083812"	6.03079	5.94076	5.78849	6.08497	6.0565	6.18813
"ENSMUSG00000083816"	4.60359	4.57003	4.25485	4.31705	4.77636	4.61203
"ENSMUSG00000083819"	3.96182	4.25198	4.19654	4.44303	3.76659	3.91751
"ENSMUSG00000083822"	10.3193682758621	10.23433	10.3479982758621	10.1434537931034	10.24565	10.1892182758621
"ENSMUSG00000083823"	6.83254333333333	6.89571	6.78138666666667	6.50721	6.59131333333333	6.71388
"ENSMUSG00000083825"	3.79796	3.5463	3.66702	3.87477	4.20358	3.59596
"ENSMUSG00000083826"	10.3495421428571	10.2257214285714	10.2089414285714	9.95148642857143	9.96101714285714	9.85461428571429
"ENSMUSG00000083829"	9.71309	9.76306	9.59942	11.82647	11.75657	11.71094
"ENSMUSG00000083830"	4.91185	4.41411	4.77861	4.90837	4.74873	4.91525
"ENSMUSG00000083833"	10.235726969697	10.1925975757576	10.1509978787879	9.63265878787879	9.6557596969697	9.56668575757576
"ENSMUSG00000083847"	4.75516	5.11355666666667	4.89852666666667	4.72436	4.70889666666667	4.53229
"ENSMUSG00000083851"	3.45766	3.36046	3.50804	4.08391	3.88395	3.57196
"ENSMUSG00000083852"	8.234075	8.19937	8.049385	7.880375	8.0625	7.93093
