"Treated BAT (fex)_R2(r1)"	"BAT_R2(r1)"	"Beige/brite (fex on gWAT)_R2(r1)"	"gWAT_R2(r1)"	"Beige/brite (fex on iWAT)_R2(r1)"	"iWAT_R2(r1)"
"ENSMUSG00000033983"	7.911732002152	8.08422051048939	7.80655718637108	7.72397971638575	7.86029683113031	7.90800202687242
"ENSMUSG00000085498"	5.89800855608716	5.60207078237599	4.85538415661017	5.11974536224697	5.22590906533538	5.39630251825642
"ENSMUSG00000092225"	-0.362104533628083	-0.501958852815569	-0.380354954405356	-0.409607405149088	-0.282549191149733	-0.516992395574084
"ENSMUSG00000031523"	14.5420769747043	14.8842500669616	14.3362679311241	14.5274766829985	14.9828092644569	14.884597196992
"ENSMUSG00000105679"	5.95357573066688	5.6469165814047	6.10339753745624	6.04985740451266	6.31207006223305	6.17064894288788
"ENSMUSG00000040139"	8.85892704255148	9.05007588624823	9.22163874356558	8.77544486125661	9.0735656446659	8.84634956866368
"ENSMUSG00000081344"	3.63251520834326	3.77409636276186	4.3557227862077	4.5088882529214	3.76438480032365	3.82732220008764
"ENSMUSG00000081319"	-1.04679705878839	-0.834527531246942	-0.90414475592766	-0.933768028235065	-1.05145041872507	-1.0509997750679
"ENSMUSG00000060181"	10.6477928861858	10.5570049804686	10.4734812077167	10.5613223950192	10.475065087076	10.6069922257285
"ENSMUSG00000099375"	4.64963013384449	4.85471927685208	6.42252577930895	6.82773694115852	6.67498686132282	6.98931358180066
"ENSMUSG00000003380"	13.8409346179018	13.9880225683418	13.6102857505613	13.3419166767702	13.7869400777363	13.5633292918578
"ENSMUSG00000051378"	7.28927328414146	7.00854850109491	8.56263101253038	8.48079369229915	7.57463377749418	7.92178049784656
"ENSMUSG00000092920"	3.14215012205806	3.03104223431835	4.36829938671234	4.16367567977315	4.13738114453111	4.3882836773828
"ENSMUSG00000093106"	0.235984361900633	0.451432032296304	0.494099284974169	0.53407738748003	0.575232676643566	0.226231013534901
"ENSMUSG00000030731"	9.37280345198758	9.4984908573667	8.06457533755984	8.11799581879614	8.63950970806716	8.5390067212241
"ENSMUSG00000019966"	12.8527332387671	12.917767149407	12.8933583084985	12.8881265173657	12.7700443029699	12.6895268749755
"ENSMUSG00000039239"	7.64800978769869	7.65664349131852	8.78920476875611	9.00227729545584	8.80491020734135	8.31749266144348
"ENSMUSG00000106245"	1.17225756078824	1.21289782581192	1.44066875177133	1.47515714063097	1.87140562513716	2.1984889539329
"ENSMUSG00000006542"	8.2284676541437	7.94017600540734	8.73271512409369	8.68460378507679	9.92600434649049	9.67647745507592
"ENSMUSG00000100975"	8.63450204804036	9.289614792567	9.03494806142523	8.80124604249122	9.21215527013835	8.67665957933529
"ENSMUSG00000046408"	6.49193027283399	5.83863569826642	6.15987433610497	5.74272041967481	6.10349456928556	5.86774226864335
"ENSMUSG00000042784"	6.62597283708262	6.54167267754571	6.29049102082836	6.7844165190562	5.83975301023981	6.1204984941972
"ENSMUSG00000091387"	4.73823012739545	3.99626994301749	6.0720318746874	6.22615800268663	4.7228339721056	4.93782148631761
"ENSMUSG00000039968"	11.1430345096	11.2257436493508	11.2771925438961	11.2395063880406	11.3050877319609	11.2651679788224
"ENSMUSG00000082488"	-0.446291129079104	-0.594212493139262	-0.608300801920206	-0.495857216482686	-0.257735588273955	-0.610122971773322
"ENSMUSG00000020935"	10.824828440294	10.6860522378333	11.3663646981024	11.2629441341175	11.4328477072671	11.2392819899167
"ENSMUSG00000078675"	0.308706307475083	-0.365250856980693	-0.223106594413589	-0.39612588748286	-0.390586674670489	-0.389653144933487
"ENSMUSG00000082860"	6.20364902098085	6.31497488149599	5.89998154218374	6.02849883373236	6.02342484623911	5.89270526788264
